sampleID	p_Euryarchaeota	p_Actinobacteria	p_Bacteroidetes	p_Cyanobacteria	p_Deferribacteres	p_Firmicutes	p_Fusobacteria	p_Patescibacteria	p_Proteobacteria	p_Tenericutes	p_Verrucomicrobia	k_Bacteria	k_Eukaryota	Unassigned
541-30min	0	12	349	0	0	1593	0	6	31	36	0	0	0	0
541-60min	0	13	207	0	0	1767	0	7	10	23	0	0	0	0
542-120min	0	3	1229	71	12	671	0	0	41	0	0	0	0	0
542-180min	0	5	1190	96	23	676	0	0	37	0	0	0	0	0
542-30min	0	17	1250	79	19	611	0	0	50	1	0	0	0	0
542-60min	0	10	1211	66	5	685	0	0	50	0	0	0	0	0
543-60min	0	27	223	0	7	1743	0	7	20	0	0	0	0	0
544-30min	0	9	633	0	0	1309	0	5	20	51	0	0	0	0
544-60min	0	21	198	0	0	1748	0	7	29	24	0	0	0	0
545-120min	0	30	703	0	3	1256	0	0	25	10	0	0	0	0
545-30min	0	40	949	0	0	1006	0	0	26	6	0	0	0	0
545-60min	0	26	952	0	0	1034	0	0	10	5	0	0	0	0
546-30min	0	31	1049	1	2	918	0	2	18	6	0	0	0	0
546-60min	0	31	841	0	2	1117	0	2	24	10	0	0	0	0
547-120min	0	19	151	0	0	1771	0	5	63	18	0	0	0	0
547-30min	0	20	353	0	0	1602	0	5	30	17	0	0	0	0
547-60min	0	29	115	0	0	1844	0	0	29	10	0	0	0	0
547W-30min	0	9	1108	6	0	836	0	2	32	34	0	0	0	0
547W-60min	0	13	773	0	0	1156	0	2	34	49	0	0	0	0
547W-90min	0	10	700	7	0	1220	0	3	44	43	0	0	0	0
548W-120min	0	36	753	21	0	1163	0	4	34	16	0	0	0	0
548W-180min	0	24	667	11	0	1237	0	3	74	11	0	0	0	0
548W-30min	0	21	855	36	0	1077	0	2	26	10	0	0	0	0
548W-60min	0	23	776	13	0	1156	0	0	40	19	0	0	0	0
549-120min	0	3	957	6	0	1003	0	3	13	42	0	0	0	0
549-30min	0	32	935	3	3	973	0	7	26	48	0	0	0	0
549-60min	0	24	954	0	0	992	0	0	6	51	0	0	0	0
550-120min	0	24	723	25	0	1147	0	5	76	27	0	0	0	0
550-30min	0	30	997	16	0	895	0	4	50	35	0	0	0	0
550-30min-2	0	28	1008	20	0	905	0	5	35	26	0	0	0	0
550-60min	0	10	598	20	0	1307	0	5	55	32	0	0	0	0
553-120min	0	7	1069	21	7	869	0	3	40	11	0	0	0	0
553-30min	0	20	1068	11	5	866	0	2	47	8	0	0	0	0
553-60min	0	8	1089	13	5	866	0	0	34	12	0	0	0	0
556-120min	0	8	679	16	0	1234	0	0	27	63	0	0	0	0
556-30min	0	9	1042	16	0	897	0	5	17	41	0	0	0	0
557-120min	0	4	118	0	0	1875	0	0	30	0	0	0	0	0
557-30min	0	19	551	0	0	1425	0	7	25	0	0	0	0	0
557-60min	0	19	193	0	0	1764	0	5	42	4	0	0	0	0
558-30min	0	27	483	0	10	1429	0	5	33	40	0	0	0	0
558-60min	0	39	400	0	6	1496	0	6	39	41	0	0	0	0
559-30min	0	18	487	3	11	1443	0	14	42	9	0	0	0	0
559-60min	0	14	201	0	8	1765	0	2	35	2	0	0	0	0
560-120min	0	15	987	10	0	978	0	6	17	14	0	0	0	0
560-60min	0	25	1112	6	0	867	0	0	12	5	0	0	0	0
561-120min	0	15	860	23	3	1034	0	17	37	38	0	0	0	0
561-30min	0	13	1002	11	0	917	0	15	29	40	0	0	0	0
561-60min	0	12	1044	20	0	913	0	1	7	30	0	0	0	0
562-120min	0	2	745	13	0	1168	0	6	50	43	0	0	0	0
562-30min	0	9	984	34	0	935	0	2	41	22	0	0	0	0
563-30min	0	15	751	5	35	1166	0	0	25	30	0	0	0	0
563-60min	0	17	973	13	0	979	0	0	11	34	0	0	0	0
564-30min	0	19	758	0	7	1163	0	14	43	23	0	0	0	0
564-60min	0	13	409	0	5	1525	0	6	50	19	0	0	0	0
565-120min	0	13	834	36	8	1068	0	10	14	44	0	0	0	0
565-30min	0	14	712	33	8	1222	0	6	6	26	0	0	0	0
565-60min	0	16	713	26	0	1214	0	9	13	36	0	0	0	0
571-120min	0	11	295	0	5	1671	0	4	22	19	0	0	0	0
571-30min	0	25	824	0	6	1113	0	25	21	13	0	0	0	0
571-60min	0	17	283	0	6	1657	0	11	33	20	0	0	0	0
572-120min	0	15	863	3	2	1115	0	4	13	12	0	0	0	0
572-30min	0	31	598	0	3	1340	0	3	27	25	0	0	0	0
572-60min	0	53	904	5	0	1024	0	3	24	14	0	0	0	0
573-120min	0	15	767	1	0	1190	0	0	12	42	0	0	0	0
573-60min	0	10	822	3	5	1142	0	0	18	27	0	0	0	0
600-120min	0	18	930	0	0	1026	0	0	22	31	0	0	0	0
600-30min	0	20	1009	0	7	947	0	3	25	16	0	0	0	0
600-60min	0	10	1060	0	0	912	0	0	18	27	0	0	0	0
601-30min	0	4	1150	0	0	845	0	13	7	8	0	0	0	0
601-60min	0	14	693	0	0	1250	0	18	43	9	0	0	0	0
602-120min	0	14	1120	12	0	842	0	0	13	26	0	0	0	0
602-30min	0	11	785	0	2	1195	0	0	13	21	0	0	0	0
602-60min	0	23	995	7	0	974	0	0	16	12	0	0	0	0
603-120min	0	16	441	0	0	1556	0	5	5	4	0	0	0	0
603-30min	0	16	379	4	4	1589	0	3	28	4	0	0	0	0
603-60min	0	24	522	3	5	1442	0	7	14	10	0	0	0	0
605-120min	0	6	956	29	0	993	0	5	11	27	0	0	0	0
605-30min	0	18	715	9	0	1178	0	13	34	60	0	0	0	0
605-60min	0	0	804	5	0	1183	0	5	12	18	0	0	0	0
606-120min	0	26	396	0	8	1539	0	1	41	16	0	0	0	0
606-30min	0	6	733	0	4	1256	0	0	9	19	0	0	0	0
606-60min	0	12	380	0	4	1569	0	5	38	19	0	0	0	0
607-30min	0	21	828	4	19	1096	0	12	31	16	0	0	0	0
607-60min	0	22	568	4	6	1381	0	9	25	12	0	0	0	0
